pair_id,treatment_url,locale,cluster,treatment_tool_slug,why_this_page_is_better_for_users,concrete_user_value,covered_aspects,review_status
P2B-01,https://funnytools.win/en/tools/cad-2d/,en,draw,cad-2d,Adds a checkable coordinate example and explains when a PNG/SVG export is only a visual draft rather than a CAD record.,Draft a 120×80 rectangle and preserve the coordinate notes beside the export.,"inputs, example, output interpretation, limits",PASS
P2B-02,https://funnytools.win/en/tools/class-rank-percentile-calculator/,en,statistics,class-rank-percentile-calculator,"Connects rank and cohort size to tie rules and explains why a percentile is relative evidence, not an official grade or admission decision.",Check rank 7 of 30 against a spreadsheet using the same tie convention.,"inputs, cohort definition, interpretation, edge cases",PASS
P2B-03,https://funnytools.win/en/tools/compound-interest/,en,money,compound-interest,"Separates principal, rate period, compounding frequency, and forecast assumptions with a reproducible 1000-at-5% example.",Compare annual and monthly compounding while preserving currency and rate assumptions.,"inputs, formula context, example, financial limits",PASS
P2B-04,https://funnytools.win/en/tools/cronbach-alpha-calculator/,en,statistics,cronbach-alpha-calculator,"Adds a concrete 5-by-4 matrix check and makes N, k, total-score variation, and alpha limitations actionable for a report.",Compare the tool output with a second implementation using the same reverse-scoring rule.,"input matrix, result checks, interpretation, limitations",PASS
P2B-05,https://funnytools.win/en/tools/percentage-calculator/,en,statistics,percentage-calculator,"Disambiguates part-of-quantity, share-of-total, relative change, and percentage points with numbers that can be checked by hand.",Calculate 18% of 250 and contrast 80→100 with 100→80.,"question selection, examples, edge cases, rounding",PASS
P2B-06,https://funnytools.win/es/herramientas/tirar-dados-online/,es,random,dice-roller,Añade una tirada de tres dados como ejemplo verificable y explica la diferencia entre una salida casual y un sorteo auditado.,Registrar cada dado y la suma para una actividad de probabilidad.,"preparación, ejemplo, salida, límites",PASS
P2B-07,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,es,statistics,cronbach-alpha-calculator,"Concreta la preparación de una matriz 5×4 y vincula N, k y α con la interpretación responsable de una escala.",Comparar la salida con un programa estadístico usando la misma recodificación.,"matriz, ejemplo, interpretación, límites",PASS
P2B-08,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,es,statistics,standard-deviation,"Explica la decisión población/muestra y ofrece una serie numérica para comprobar separadores, recuento y unidad antes de interpretar la dispersión.",Comprobar una lista de ocho notas como población o como muestra según la pregunta.,"datos, ejemplo, variante, limitaciones",PASS
P2B-09,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,es,time,business-days,"Define inclusión de fechas, fin de semana, formato y festivos para que un plazo no se confunda con una resta de días naturales.",Comprobar la semana del 5 al 9 de enero de 2026 antes de comunicar una fecha límite.,"intervalo, calendario, ejemplo, verificación",PASS
P2B-10,https://funnytools.win/es/herramientas/calculadora-hipoteca/,es,money,mortgage-payment,"Separa capital, tipo, plazo y frecuencia, y advierte que la cuota estimada no incluye necesariamente impuestos, seguros ni comisiones.","Comparar plazos con 180000, 3,5% y 25 años como control aritmético.","supuestos, ejemplo, lectura de salida, riesgo financiero",PASS
P2B-11,https://funnytools.win/fr/outils/calcul-moyenne-notes/,fr,statistics,grade-average,"Ajoute un exemple de notes avec coefficients et une vérification de la somme pondérée, tout en distinguant barème et règles scolaires.",Comparer 14 coefficient 2 et 16 coefficient 1 sur le même barème.,"saisie, exemple, contrôle, limites",PASS
P2B-12,https://funnytools.win/fr/outils/calculateur-inflation-pouvoir-achat/,fr,money,inflation,"Relie une variation d’indice à sa période, sa série et ses limites afin d’éviter de présenter un indice moyen comme le prix de chaque personne.",Contrôler une hausse de 100 à 106 avec la série officielle appropriée.,"indice, exemple, pouvoir d’achat, source",PASS
P2B-13,https://funnytools.win/fr/outils/calculateur-jours-ouvres/,fr,time,business-days,"Précise les bornes du délai, le calendrier hebdomadaire et les jours fériés pour rendre le décompte vérifiable avant une échéance.",Tester une semaine du 5 au 9 janvier 2026 et noter la convention.,"intervalle, calendrier, exemple, vérification",PASS
P2B-14,https://funnytools.win/fr/outils/calculateur-moyenne-ponderee/,fr,statistics,weighted-average-calculator,"Montre comment les coefficients changent une moyenne avec un exemple 12/2 et 16/1, puis donne des contrôles sur les poids et les unités.",Comparer moyenne simple et pondérée après vérification de la somme des poids.,"valeurs, coefficients, exemple, erreurs",PASS
P2B-15,https://funnytools.win/fr/outils/calculer-difference-entre-dates/,fr,time,date-difference,"Distingue jours écoulés, durée de calendrier et bornes incluses avec un intervalle concret, puis signale mois variables et années bissextiles.",Contrôler l’intervalle du 15 janvier au 1er mars 2026 en jours.,"dates, convention, exemple, cas limites",PASS
P2B-16,https://funnytools.win/tools/bar-chart-maker/,zh-TW,draw,bar-chart-maker,明確的資料整理與圖表檢查流程，讓使用者知道單位、負值、刻度與 PNG 輸出的差別。,用四季訂單數做比較圖，並在匯出前核對最高/最低柱。,資料準備、輸出判讀、實例、限制,PASS
P2B-17,https://funnytools.win/tools/base64/,zh-TW,text,base64,區分文字與檔案 Base64，補充 data URL、膨脹、padding 與不等於加密的實際判斷。,用 Hello 做編解碼核對，再檢查 PNG data URL 的媒體類型。,輸入選擇、解碼檢查、安全限制,PASS
P2B-18,https://funnytools.win/tools/cronbach-alpha-calculator/,zh-TW,statistics,cronbach-alpha-calculator,把矩陣尺寸、反向題、N/k 與 α 的解讀連成可重現的分析檢查。,用 5×4 匿名矩陣逐項比對 N、k 與 α。,輸入格式、實例、公式語境、限制,PASS
P2B-19,https://funnytools.win/tools/seating-chart/,zh-TW,study,seating-chart,提供 24 人班級的座位表準備與逐格核對方法，並說明隨機排列不會理解教室限制。,用 4×6 座位表作為初版，再人工套用無障礙與相鄰限制。,輸入準備、實例、輸出核對、隱私限制,PASS
P2B-20,https://funnytools.win/tools/countdown-timer/,zh-TW,time,countdown-timer,說明如何把倒數時間綁定到可結束的任務，並處理分頁、睡眠與背景提醒限制。,用 25 分鐘工作加 5 分鐘休息拆成兩段可檢查的倒數。,任務設定、實例、到點行為、限制,PASS
